#Parameters = {L=30; L1=0.3; L2=0.8; L3=0.2; L4=0.6; Lc=11; Lf=8; Lt=1.8; Ltaper=1.27; R1=4.17; R2=2.68; R3=1.97; W=15; Wf=0.72; Ws=0.6; Wt=2.5; Wtaper=0.72; a=5; counter=29; degree=12; delta_l2=4.4; delta_l3=2.8; dp=3.8; g=0.2; gs=0.2; gt=0.5; h=0.254; hole_d=2; hole_x=9.25; hole_y=2.8; lp1=3.83; lp2=7.83; lp3=10.45; p=1; r=0.25; t=0.018; w1=3.5; w2=3.2; w3=3.2}
#"Frequency / GHz"	"Axial_ratio [Real Part]"
#-------------------------------------------
28.680000000000	12.682534825396
28.690000000000	12.873223862112
28.700000000000	13.065450708613
28.710000000000	13.259245596830
28.720000000000	13.454624362781
28.730000000000	13.651575772205
28.740000000000	13.850087073064
28.750000000000	14.050104727200
28.760000000000	14.251560525391
28.770000000000	14.454362350799
28.780000000000	14.658385081523
28.790000000000	14.863477967328
28.800000000000	15.069456580777
28.810000000000	15.276105200135
28.820000000000	15.483176334166
28.830000000000	15.690381525348
28.840000000000	15.897415998179
28.850000000000	16.103926616106
28.860000000000	16.309539298892
28.870000000000	16.513856383185
28.880000000000	16.716455648639
28.890000000000	16.916892317943
28.900000000000	17.114716862931
28.910000000000	17.309463121493
28.920000000000	17.500679308290
28.930000000000	17.687916140091
28.940000000000	17.870739346830
28.950000000000	18.048738566520
28.960000000000	18.221525684116
